City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
152,Cap Malheureux,MU,75.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
153,Sola,VU,81.91,broken clouds,-13.8833,167.55,Leumerus Bungalows
154,Nabire,ID,80.33,broken clouds,-3.3667,135.4833,Hotel Nusantara I
155,Florianopolis,BR,62.69,scattered clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
156,Saint Andrews,US,76.59,broken clouds,34.0454,-81.1293,Baymont by Wyndham Columbia Northwest
157,Gravdal,NO,42.42,light rain,68.1214,13.5031,Skreda Rorbusuiter
158,Saint-Philippe,RE,73.22,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
159,Hay River,CA,15.33,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
160,Moche,PE,64.58,fog,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
161,Shimoda,JP,56.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
162,Sao Jose Da Coroa Grande,BR,79.05,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
163,Lolodorf,CM,71.82,light rain,3.2333,10.7333,Auberge La Decouverte
165,Mar Del Plata,AR,64.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
166,Bastrop,US,65.88,overcast clouds,32.7562,-91.8724,Best Budget Inn
167,Constitucion,CL,51.66,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
168,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
169,Chipinge,ZW,60.04,overcast clouds,-20.1883,32.6236,Chipinge Breeze Lodge
171,Micula,RO,32.68,clear sky,47.9,22.95,Noroieni
173,Jeremie,HT,77.9,overcast clouds,18.65,-74.1167,Auberge’Inn
174,Norman Wells,CA,21.36,broken clouds,65.282,-126.8329,Heritage Hotel
175,Mana,GF,77.27,scattered clouds,5.6592,-53.7767,LE SAMANA
176,Araguacu,BR,74.17,broken clouds,-12.9306,-49.8264,Hotel Tocantins
177,Russell,US,66.11,few clouds,32.3502,-85.1999,Macs
178,Coihaique,CL,50.61,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
179,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
180,Salta,AR,56.57,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
181,Sakakah,SA,67.39,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
183,Barcelos,PT,58.84,clear sky,41.5388,-8.6151,Hotel Restaurante Bagoeira
185,Kodiak,US,40.51,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
187,Dubti,ET,85.86,few clouds,11.7361,41.0853,degu Shiferaw
188,Axim,GH,79.11,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
189,Banamba,ML,85.12,few clouds,13.55,-7.45,Kassela de Banamba
190,Sao Filipe,CV,71.51,clear sky,14.8961,-24.4956,Hotel Xaguate
191,Hildburghausen,DE,41.0,few clouds,50.4255,10.7318,Pension Thüringer Hof
192,Tasiilaq,GL,33.17,overcast clouds,65.6145,-37.6368,The Red House
193,Grand Gaube,MU,75.38,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
194,Hetauda,NP,69.15,clear sky,27.4284,85.0322,Regal Hetauda Resort
195,Necochea,AR,61.27,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
196,Horana,LK,76.89,broken clouds,6.7166,80.0619,Pinidiya Holiday Resort
197,Mount Isa,AU,83.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
198,Burns Lake,CA,44.71,scattered clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
199,Victoria,HK,71.65,overcast clouds,22.2855,114.1577,Mini Hotel Central
200,Ulaangom,MN,42.26,clear sky,49.9811,92.0667,Achit Nuur Hotel & Restaurant
202,Domoni,KM,77.95,few clouds,-12.2569,44.5319,Al Djadid
203,Sistranda,NO,46.36,overcast clouds,63.7256,8.834,Hotell Frøya
204,Te Anau,NZ,60.53,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
205,Marawi,PH,73.99,overcast clouds,7.9986,124.2928,Derogongan Residence
206,Dingle,PH,80.78,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
207,Beaufort,MY,81.09,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
208,San-Pedro,CI,77.14,overcast clouds,4.7485,-6.6363,Hotel Maria
209,Port Augusta,AU,66.9,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
210,Songea,TZ,62.2,light rain,-10.6833,35.65,mtakuja
211,Klaksvik,FO,47.32,light rain,62.2266,-6.589,Airbnb rooms
212,San Jose,US,69.69,few clouds,37.3394,-121.895,The Westin San Jose
214,Rio Verde De Mato Grosso,BR,69.28,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
216,Maldonado,UY,61.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
217,Presidente Venceslau,BR,62.89,clear sky,-21.8761,-51.8439,K. Hotéis
219,Yar-Sale,RU,12.27,overcast clouds,66.8333,70.8333,Yalemd
220,Kendari,ID,79.99,light rain,-3.945,122.4989,Hotel Wixel
221,Port Keats,AU,85.33,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
223,Leshukonskoye,RU,32.45,light snow,64.8989,45.7622,Pryalitsa Hostel
224,College,US,40.98,clear sky,64.8569,-147.8028,Pike's Waterfront Lodge
225,Colares,PT,60.3,scattered clouds,38.7992,-9.4469,Arribas Sintra Hotel
227,Ribeira Grande,PT,58.1,broken clouds,38.5167,-28.7,Quinta da Meia Eira
228,Weatherford,US,78.66,clear sky,32.7593,-97.7972,Clarion Inn & Suites Weatherford South
229,Jalu,LY,61.95,overcast clouds,29.0331,21.5482,صاحبة الفخامة
230,Batagay,RU,17.29,scattered clouds,67.6333,134.6333,Gostinitsa Ki'ileekh
231,Rawson,AR,60.51,clear sky,-43.3002,-65.1023,Hosteria Sampedro
232,Port-Cartier,CA,40.75,overcast clouds,50.0334,-66.8654,Le Q'Artier
233,Maniitsoq,GL,23.11,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
234,Shirdi,IN,78.49,clear sky,19.7667,74.4833,Shradha Saburi Palace
235,Maragogi,BR,78.78,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
236,Sao Domingos,BR,70.83,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
237,Port Elizabeth,ZA,63.32,moderate rain,-33.918,25.5701,39 On Nile Guest House
238,Kalaikunda,IN,77.63,broken clouds,22.35,87.25,Hotel Capsicum
239,Port Shepstone,ZA,65.25,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
240,Thompson,CA,28.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
